Process area,Level 1 Process,Module,Sub Process
EAM,Other,,Other
EAM,Repair,,Repair
EAM,Plan,PM,Plan
EAM,Move,PM,Move
EAM,Move,PM,Railcar Movement / Sequence
EAM,Repair,PM,Repair
EAM,Inspect,PM,Inspection
EAM,Inspect,PM,Results Recording
EAM,Inspect,PM,Defect Management
EAM,Inspect,PM,Follow up Actions
EAM,Plan,PM,Work Scoping
EAM,Plan,PM,Material & Labor Planning
EAM,Other,PM,Other
EAM,Billing,PM,Billing
EAM,Other,PM,Reporting
EAM,Other,PM,Equipment Related Master Data
EAM,Other,PM,Car Repair Billing Master Data
EAM,Other,PM,Station Master Data
EAM,Other,PM,HR Master Data
EAM,Other,PM,Material Master Data
EAM,Invoice,PM,Repair Invoicing Mgmt.
EAM,Bill,PM,Repair Billing Mgmt.
EAM,Repair,PM,Detailed Pre-Repair Inspection
EAM,Repair,PM,Procurement (Materials / Resources) 
EAM,Repair,PM,Repair Execution
EAM,Repair,PM,Work Closure
HCM,Talent Management,Comp,Comp review
HCM,Payroll Admin,Payroll,Taxes - Work tax
HCM,Personnel Admin,Travel,Travel Expenses
HCM,Payroll Admin,Payroll,Taxes
HCM,Payroll Admin,Payroll,Taxes - Residence tax
HCM,Payroll Admin,Payroll,Earnings & Deductions
HCM,Personnel Admin,PA,Personnel Management
HCM,Time Management,Time,Absence Quotas
HCM,Payroll Admin,Payroll,Taxes - Un employment State
HCM,Payroll Admin,Payroll,Payroll reduction method
HCM,Personnel Admin,PA,Custom infotype
HCM,Payroll Admin,Payroll,Pension Admin
HCM,Payroll Admin,Payroll,ESS
HCM,Benefits Admin.,Benefits,ESS
HCM,Payroll Admin,Payroll,Grievances
HCM,Benefits Admin.,Benefits,Dependendants
HCM,Org. Management,OM,Region Division
HCM,Org. Management,OM,Org Prublisher
HCM,Payroll Admin,Payroll,Ben Data
HCM,Payroll Admin,Payroll,SSQ Eligibility
HCM,Time Management,Time,Feature TMSTA
HCM,Org. Management,OM,Relationhip P-CP report
HCM,Personnel Admin,PA,Dynamic Actions
HCM,Benefits Admin.,Benefits,Custom infotype
HCM,Time Management,Time,CATS
HCM,Payroll Admin,Payroll,Wages types
HCM,Personnel Admin,PA,Security Roles
HCM,Payroll Admin,Payroll,Payment
HCM,Payroll Admin,Payroll,Payroll Posting
HCM,Payroll Admin,Payroll,Payroll Annuity
HCM,Payroll Admin,Payroll,Workflow
HCM,Talent Management,Talent,Talent Admin
HCM,Personnel Admin,PA,JPID
HCM,Payroll Admin,Payroll,BSI
HCM,Payroll Admin,Payroll,Mass Load
HCM,Payroll Admin,Payroll,Garnishment
