Obj Type,Object Name,Object description,Long Description,CMOD FM/ WF Template Name,Description,Process area,Level 1 Process,Module,Sub Process,Theme
TABL,ZMPM_UPS_DATA,Shipper Data,,,,EAM,Move,PM,Move,UPS
TABL,ZMPM_AUTHREPDEF,CAR: Authorized Representative Default,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMBADORDRHDLCD,Bad Order Handling Code,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMRESPCODEDATA,Responsibility Code Data,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMREP_MACTRULE,Repair: Material Cost Rule,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMLOADEMPTY,Load Empty,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_MD_REPORTER,CAR: MD Reporter,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_WH_PLATE_TY,CAR: Wheel Plate Type,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_NEW_RECOND,CAR: Locking Tab New Reconditioned,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPM_ABKTSTMETH,CAR: Air Brake Test Method,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMWHLCLSMAP,Wheel Class Mapping,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMWHEELTYPE,Wheel Type,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMALERTTYPE,Alert Type,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_RESPONSIBIL,CAR: Responsibility,,,,EAM,Plan,PM,Plan,Work Order
TABL,ZMPM_AREA_OF_DMG,CAR: Area of Damage,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPM_EOTD_RI,Reliability Index - Config table,,,,EAM,Inspect,PM,Inspection,Equipment
TABL,ZMPM_CONDITION,CAR: Condition,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMAPPRMVIND,Applied Removed Indicator,,,,EAM,Inspect,PM,Inspection,Work Order
TABL,ZMPMREP_DESCRULE,Repair: Description Rule,,,,EAM,Repair,PM,Repair,Work Order
TABL,ZMPMREPAIRTY,Repair Type,,,,EAM,Repair,PM,Repair,Work Order
