,Level-1-text,Module-text,Sub-Process-text,Level 1 Process,Module,Sub Process,Num_words_Level-1-text,Num_words_Module-text,Num_words_Sub-Process-text,Level 1 Process-Code,Module-Code,Sub Process-Code
868,r2r project definition nan,capitalprojectaccouting r2r project definition nan,ps capitalprojectaccouting r2r project definition nan,capitalprojectaccouting,ps,nan,4,5,6,0,33,24
869,r2r parked document nan,vendorinvoicing r2r parked document nan,ap vendorinvoicing r2r parked document nan,vendorinvoicing,ap,nan,4,5,6,14,1,24
870,r2r accounting document nan,generalaccounting r2r accounting document nan,gl generalaccounting r2r accounting document nan,generalaccounting,gl,nan,4,5,6,5,17,24
871,r2r purchase contract nan,vendorinvoicing r2r purchase contract nan,mm vendorinvoicing r2r purchase contract nan,vendorinvoicing,mm,nan,4,5,6,14,29,24
872,r2r clearing case nan,collections&disputemanagement r2r clearing case nan,ar collections&disputemanagement r2r clearing case nan,collections&disputemanagement,ar,nan,4,5,6,1,6,24
873,r2r sales order approval nan,customerinvoicing&ar(mbil) r2r sales order approval nan,sd customerinvoicing&ar(mbil) r2r sales order approval nan,customerinvoicing&ar(mbil),sd,customerinvoicing,5,6,7,3,41,10
874,r2r migo_badi - post_document nan,fixedasset&projectaccounting r2r migo_badi - post_document nan,ps fixedasset&projectaccounting r2r migo_badi - post_document nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,5,6,7,4,33,7
875,r2r migo_badi-post_document nan,fixedasset&projectaccounting r2r migo_badi-post_document nan,ps fixedasset&projectaccounting r2r migo_badi-post_document nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,3,4,5,4,33,7
876,r2r xibuy accounting detail badi implentation for norfolk sother nan,generalaccountingconsolidation&reporting r2r xibuy accounting detail badi implentation for norfolk sother nan,gl generalaccountingconsolidation&reporting r2r xibuy accounting detail badi implentation for norfolk sother nan,generalaccountingconsolidation&reporting,gl,generalaccounting,10,11,12,6,17,14
877,r2r change dispute case before saving nan,customerinvoicing&ar(mbil) r2r change dispute case before saving nan,ar customerinvoicing&ar(mbil) r2r change dispute case before saving nan,customerinvoicing&ar(mbil),ar,accountsreceivable&incomingpayments,7,8,9,3,6,3
878,r2r implementation on save of wbs nan,fixedasset&projectaccounting r2r implementation on save of wbs nan,ps fixedasset&projectaccounting r2r implementation on save of wbs nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,7,8,9,4,33,7
